unique_patch_id,patch_hash,member_count,bug_key,members,root_cause_related,semantic_equivalent,overfitting_risk,final_correctness,correctness_type,correctness_reason,second_review_required,second_reviewer,second_review_reason
UP-01,036691bbd160ac66521d71eefb154e61be3ce64e132247646f5ebdf12203843d,1,Codec-1,Codec-1:R:attempt2,yes,yes,no,correct,developer_equivalent,The generated patches cover the complete developer change set and prevent locale-sensitive behavior while preserving the intended English phonetic algorithms.,false,,
UP-02,0472d6f35e0150758b908f304e7ae6defdf95ef37ad3a232b1d66d22c36c622f,3,Jsoup-45,Jsoup-45:A:attempt1|Jsoup-45:R:attempt1|Jsoup-45:C:attempt1,yes,alternative_semantics,no,correct,alternative_correct,"The generated patch repairs the repeated td condition and restores InCell selection for th, which is the root cause exercised by the trigger. Grouping td/th under !last is consistent with resetInsertionMode's last/context-element handling and introduces no broader bypass or hard-coded behavior.",true,Codex independent evidence pass,"Reviewed the full resetInsertionMode control flow, the last flag's fragment-context role, and testReinsertionModeForThCelss. The generated precedence differs from the developer text but implements the same root repair with coherent alternative semantics."
UP-03,05ca928c578eac349184a881dad733d729d4f02787b2e22e3659ee63f8461b3c,2,Collections-26,Collections-26:R:attempt1|Collections-26:C:attempt2,yes,yes,no,correct,developer_equivalent,"The generated patch exactly reproduces the developer repair and restores the intended serialization hook behavior for subclasses. Its API and warning-check rejection is a verifier-policy issue, not a semantic defect in this patch.",false,,
UP-04,07a0dca4e8d1e8df5a18e43461f9dff9b61e2ae4759fe47a7761da340bfc32aa,1,Math-91,Math-91:R:attempt1,yes,yes,no,correct,developer_equivalent,"The generated patches are algebraically equivalent to the developer repair, avoid floating-point equality errors, and remain safe for int numerator/denominator products widened to long.",false,,
UP-05,18737983f58cdf98c943c71499bdcb9c47d8d27e4d7e9e0741712bb8caf6ee76,1,Chart-24,Chart-24:R:attempt1,yes,yes,no,correct,developer_equivalent,"The generated change is textually and semantically the developer fix, preserving in-range behavior while correctly clamping values outside the configured bounds.",false,,
UP-06,21ec798311bdf14666ea4a00b3b2632a824c1b81b5958a50af226454141a9fad,1,Chart-4,Chart-4:R:attempt1,yes,yes,no,correct,developer_equivalent,The generated patches match the developer control-flow repair and avoid the null dereference without suppressing dataset range computation or annotation handling when a renderer exists.,false,,
UP-07,4c5df85dd3981643e70768b0a92839f340094909aca39f11a7dbca37853bfaba,1,Chart-1,Chart-1:R:attempt1,yes,yes,no,correct,developer_equivalent,The generated patches reproduce the developer fix at the same control-flow guard and restore both null safety and normal legend-item enumeration; the diffs differ only in context formatting.,false,,
UP-08,63fe7939007b81937106676d3bee5f073fc416fd63d5aeb8e155403aa07a15c7,2,JacksonDatabind-3,JacksonDatabind-3:A:attempt1|JacksonDatabind-3:R:attempt1,yes,no,yes,incorrect,plausible_but_incorrect,"The patch passes the trigger because that test exercises the default String[] path, but it omits the developer fix in _deserializeCustom. A custom element deserializer's defined null value is still discarded, so the repair is incomplete and test-overfitted.",true,Codex independent evidence pass,"Confirmed against the complete developer diff, the _deserializeCustom implementation, JsonDeserializer.getNullValue(), and the analogous StringCollectionDeserializer behavior. The omitted branch has a concrete semantic obligation independent of textual patch equality."
UP-09,6511fb5b5f8cac6b0fed03fc61bed7b213befbea1209e02cffb0389667672e9e,1,Jsoup-89,Jsoup-89:R:attempt1,yes,no,yes,incorrect,plausible_but_incorrect,"The generated patches remove the orphan NPE and pass settersOnOrphanAttribute, but omit the developer branch that preserves Map.Entry.setValue semantics for parent-backed attributes. If the parent value changes after an Attribute view is created, they return a stale old value; the repair is therefore incomplete and trigger-specific.",true,Codex independent evidence pass,"Confirmed from Attributes.iterator(), which creates parent-backed Attribute views, and the Map.Entry-style setValue contract. The missing parent.get(key) branch has an observable counterexample and is not a cosmetic difference."
UP-10,6d7d187129ca02fda5a59edfb85f6de931244a58fcf120b9348d9d25aeb83cd0,1,Chart-4,Chart-4:A:attempt1,yes,yes,no,correct,developer_equivalent,The generated patches match the developer control-flow repair and avoid the null dereference without suppressing dataset range computation or annotation handling when a renderer exists.,false,,
