bug_id,bug_key,group,run_id,selected_attempt_id,patch_hash,unique_patch_id,duplicate_group_size,plausible,developer_patch_available,evidence_stratum,defect_category,root_cause_related,semantic_equivalent,overfitting_risk,final_correctness,correctness_type,developer_patch_mechanism,generated_patch_mechanism,correctness_reason,audit_status,reviewer,second_review_required,second_reviewer,second_review_reason,correctness_basis
Chart-24,Chart-24,A,stage2_mve_formal_20260825T210517,1,e313f8ab61381d062eb3f0ada4387e5bd00f7ce7fd3a65eb3586fd2c74fbcf2b,UP-22,2,true,true,direct,CONTROL_LOGIC,yes,yes,no,correct,developer_equivalent,"Use the clamped value v, rather than the original out-of-range value, when computing the grayscale component.",Both unique generated diffs replace value with v in the grayscale calculation.,"The generated change is textually and semantically the developer fix, preserving in-range behavior while correctly clamping values outside the configured bounds.",complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Chart-24,Chart-24,R,stage2_mve_formal_20260825T210517,1,18737983f58cdf98c943c71499bdcb9c47d8d27e4d7e9e0741712bb8caf6ee76,UP-05,1,true,true,direct,CONTROL_LOGIC,yes,yes,no,correct,developer_equivalent,"Use the clamped value v, rather than the original out-of-range value, when computing the grayscale component.",Both unique generated diffs replace value with v in the grayscale calculation.,"The generated change is textually and semantically the developer fix, preserving in-range behavior while correctly clamping values outside the configured bounds.",complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Chart-24,Chart-24,C,stage2_mve_formal_20260825T210517,1,e313f8ab61381d062eb3f0ada4387e5bd00f7ce7fd3a65eb3586fd2c74fbcf2b,UP-22,2,true,true,direct,CONTROL_LOGIC,yes,yes,no,correct,developer_equivalent,"Use the clamped value v, rather than the original out-of-range value, when computing the grayscale component.",Both unique generated diffs replace value with v in the grayscale calculation.,"The generated change is textually and semantically the developer fix, preserving in-range behavior while correctly clamping values outside the configured bounds.",complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Codec-1,Codec-1,A,stage2_mve_formal_20260825T210517,1,fa14c55e53a54c25574eaf17b042174b91f9d9360502a8b9c11f341fbfd30cbd,UP-24,2,true,true,direct,API_USAGE,yes,yes,no,correct,developer_equivalent,Make all three phonetic-algorithm case conversions locale-independent by specifying Locale.ENGLISH.,"Both generated patch variants apply Locale.ENGLISH to Caverphone, Metaphone, and SoundexUtils at the same three sites.",The generated patches cover the complete developer change set and prevent locale-sensitive behavior while preserving the intended English phonetic algorithms.,complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Codec-1,Codec-1,R,stage2_mve_formal_20260825T210517,2,036691bbd160ac66521d71eefb154e61be3ce64e132247646f5ebdf12203843d,UP-01,1,true,true,direct,API_USAGE,yes,yes,no,correct,developer_equivalent,Make all three phonetic-algorithm case conversions locale-independent by specifying Locale.ENGLISH.,"Both generated patch variants apply Locale.ENGLISH to Caverphone, Metaphone, and SoundexUtils at the same three sites.",The generated patches cover the complete developer change set and prevent locale-sensitive behavior while preserving the intended English phonetic algorithms.,complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Codec-1,Codec-1,C,stage2_mve_formal_20260825T210517,2,fa14c55e53a54c25574eaf17b042174b91f9d9360502a8b9c11f341fbfd30cbd,UP-24,2,true,true,direct,API_USAGE,yes,yes,no,correct,developer_equivalent,Make all three phonetic-algorithm case conversions locale-independent by specifying Locale.ENGLISH.,"Both generated patch variants apply Locale.ENGLISH to Caverphone, Metaphone, and SoundexUtils at the same three sites.",The generated patches cover the complete developer change set and prevent locale-sensitive behavior while preserving the intended English phonetic algorithms.,complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Collections-1,Collections-1,A,stage2_mve_formal_20260825T210517,1,f740a51fa6dc0dd8189c0be505a0a78cec4de1d941a414747895ba9a30211cc7,not_applicable,0,false,true,direct,CONTROL_LOGIC,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Collections-1,Collections-1,R,stage2_mve_formal_20260825T210517,1,854ed1591e33468cb47a43576d44afba61ade3efcc836f5c778deed2db56618a,UP-13,2,true,true,direct,CONTROL_LOGIC,yes,yes,no,correct,developer_equivalent,Add break statements to both iterator setValue switch blocks to prevent unintended fall-through updates.,The generated patch inserts all six developer break statements in the two switch blocks.,The generated patch is the complete developer repair and ensures that updating one Flat3Map entry changes only the selected slot.,complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Collections-1,Collections-1,C,stage2_mve_formal_20260825T210517,1,854ed1591e33468cb47a43576d44afba61ade3efcc836f5c778deed2db56618a,UP-13,2,true,true,direct,CONTROL_LOGIC,yes,yes,no,correct,developer_equivalent,Add break statements to both iterator setValue switch blocks to prevent unintended fall-through updates.,The generated patch inserts all six developer break statements in the two switch blocks.,The generated patch is the complete developer repair and ensures that updating one Flat3Map entry changes only the selected slot.,complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Collections-14,Collections-14,A,stage2_mve_formal_20260825T210517,1,f507bbaa706ae79cf2f671136bd9068f14c799fb805b5a6eb77aa9985b97defd,not_applicable,0,false,true,direct,API_USAGE,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
